published,count,name
2003-04-24,24,Harry Potter
2003-04-25,20,Harry Potter
2003-04-26,25,Harry Potter
2003-04-27,28,Harry Potter
2003-04-28,33,Harry Potter
2003-04-29,25,Harry Potter
2003-04-30,17,Harry Potter
2003-05-01,28,Harry Potter
2003-05-02,24,Harry Potter
2003-05-03,29,Harry Potter
2003-05-04,25,Harry Potter
2003-05-05,20,Harry Potter
2003-05-06,20,Harry Potter
2003-05-07,14,Harry Potter
2003-05-08,26,Harry Potter
2003-05-09,15,Harry Potter
2003-05-10,14,Harry Potter
2003-05-11,32,Harry Potter
2003-05-12,19,Harry Potter
2003-05-13,17,Harry Potter
2003-05-14,25,Harry Potter
2003-05-15,15,Harry Potter
2003-05-16,20,Harry Potter
2003-05-17,30,Harry Potter
2003-05-18,29,Harry Potter
2003-05-19,22,Harry Potter
2003-05-20,15,Harry Potter
2003-05-21,24,Harry Potter
2003-05-22,33,Harry Potter
2003-05-23,19,Harry Potter
2003-05-24,14,Harry Potter
2003-05-25,23,Harry Potter
2003-05-26,15,Harry Potter
2003-05-27,19,Harry Potter
2003-05-28,24,Harry Potter
2003-05-29,18,Harry Potter
2003-05-30,20,Harry Potter
2003-05-31,29,Harry Potter
2003-06-01,23,Harry Potter
2003-06-02,29,Harry Potter
2003-06-03,28,Harry Potter
2003-06-04,18,Harry Potter
2003-06-05,19,Harry Potter
2003-06-06,34,Harry Potter
2003-06-07,19,Harry Potter
2003-06-08,25,Harry Potter
2003-06-09,35,Harry Potter
2003-06-10,3,Harry Potter
2003-06-14,38,Harry Potter
2003-06-15,45,Harry Potter
2003-06-16,30,Harry Potter
2003-06-17,37,Harry Potter
2003-06-18,14,Harry Potter
2003-06-19,29,Harry Potter
2003-06-20,24,Harry Potter
2003-06-21,26,Harry Potter
2003-06-22,33,Harry Potter
2003-06-23,35,Harry Potter
2003-06-24,66,Harry Potter
2003-06-25,64,Harry Potter
2003-06-26,51,Harry Potter
2003-06-27,36,Harry Potter
2003-06-28,43,Harry Potter
2003-06-29,36,Harry Potter
2003-06-30,55,Harry Potter
2003-07-01,36,Harry Potter
2003-07-02,50,Harry Potter
2003-07-03,42,Harry Potter
2003-07-04,47,Harry Potter
2003-07-05,24,Harry Potter
2003-07-06,45,Harry Potter
2003-07-07,19,Harry Potter
2003-07-08,40,Harry Potter
2003-07-09,46,Harry Potter
2003-07-10,40,Harry Potter
2003-07-11,46,Harry Potter
2003-07-12,46,Harry Potter
2003-07-13,30,Harry Potter
2003-07-14,41,Harry Potter
2003-07-15,38,Harry Potter
2003-07-16,31,Harry Potter
2003-07-17,27,Harry Potter
2003-07-18,6,Harry Potter
2003-07-20,16,Harry Potter
2003-07-21,40,Harry Potter
2003-07-22,40,Harry Potter
2003-07-23,29,Harry Potter
2003-07-24,38,Harry Potter
2003-07-25,45,Harry Potter
2003-07-26,42,Harry Potter
2003-07-27,48,Harry Potter
2003-07-28,27,Harry Potter
2003-07-29,45,Harry Potter
2003-07-30,41,Harry Potter
2003-07-31,36,Harry Potter
